"Name","State","Notes","User","Tags","Created","Runtime","Sweep","experiment.name","experiment.output_dir","experiment.seed","logging.forecast_every","logging.log_every","logging.theory_match_every","loss.inner_product","loss.lambda_u","loss.lambda_v","loss.type","modality.future_len","modality.past_len","modality.sigma_u","modality.sigma_v","modality.start","modality.type","model.bias","model.embed_dim","model.init_logit_scale","model.type","signal.alpha","signal.dim_true","signal.tau","signal.type","signal.zero_mean","training.batch_size","training.lr","training.num_steps","training.optimizer","cov_error_post","cov_error_pre","eval/margin","eval/rand_sim_mean","eval/recall@10_u2v","eval/recall@10_v2u","eval/recall@1_u2v","eval/recall@1_v2u","eval/recall@5_u2v","eval/recall@5_v2u","eval/self_sim_mean","eval/self_sim_std","forecast_mse","forecast_mse_post","forecast_mse_pre","logit_scale","loss","model_cov_error","rand_sim","res_cov_error","self_sim","similarity_ratio","theory_err","v_mean","v_pred_mean","v_pred_std","v_std","weight_product_norm"
"loss_one_sided_v_dot","crashed","-","","","2026-06-15T20:50:47.000Z","151","","loss_one_sided_v_dot","/kaggle/working/results/loss_one_sided_v_dot","42","","100","500","true","0","1","one_sided_v","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","","7.282812118530273","","","","","","","","","","","0.00005317922114045359","","0.002597920363768935","11.70004653930664","5.054319858551025","8.050665855407715","-0.03337474167346954","0.28974491357803345","0.6735739707946777","-20.182147979736328","1.1490685424202074","","","","","1.661347270011902"
"loss_joint_l2","finished","-","","","2026-06-15T20:37:15.000Z","811","","loss_joint_l2","/kaggle/working/results/loss_joint_l2","42","","100","500","false","0.5","0.5","joint","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.22488144040107727","7.584449291229248","0.5197908878326416","0.013472989201545715","0.048828125","0.0625","0.005859375","0.005859375","0.0234375","0.03125","0.5332638621330261","0.2914641201496124","0.000001147291186498478","0.0000014663449974250398","0.002703315345570445","6.218978404998779","4.058188438415527","0.007090764120221138","0.025683702901005745","0.2124531865119934","0.7725896835327148","30.080930709838867","NaN","","","","","25.356212615966797"
"loss_joint_dot","finished","-","","","2026-06-15T20:23:54.000Z","801","","loss_joint_dot","/kaggle/working/results/loss_joint_dot","42","","100","500","true","0.5","0.5","joint","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","1.4574503898620603","7.282812118530273","0.4633217751979828","0.004052223637700081","0.05078125","0.044921875","0.001953125","0.00390625","0.0234375","0.021484375","0.4673739969730377","0.3128126561641693","0.0003924627089872956","0.0005348981940187514","0.002597920363768935","8.809100151062012","5.167973518371582","8.050665855407715","0.02419181726872921","1.2605996131896973","0.720302939414978","29.7746524810791","0.6583676559512207","","","","","1.4867550134658811"
"loss_conditional_l2","finished","-","","","2026-06-15T20:11:11.000Z","763","","loss_conditional_l2","/kaggle/working/results/loss_conditional_l2","42","","100","500","false","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.224881649017334","7.584449291229248","0.5193206667900085","0.013434840366244316","0.05078125","0.05859375","0.001953125","0.00390625","0.021484375","0.02734375","0.5327554941177368","0.29215750098228455","8.921955441110185e-7","0.000001603824443918711","0.002703315345570445","6.612738609313965","3.958833932876587","0.010344945825636389","0.025697657838463783","0.21241281926631927","0.772432804107666","30.058490753173828","NaN","","","","","24.29933738708496"
"loss_conditional_dot","finished","-","","","2026-06-15T19:58:35.000Z","755","","loss_conditional_dot","/kaggle/working/results/loss_conditional_dot","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.2249385416507721","7.282812118530273","0.4952832758426666","0.006462973076850176","0.05078125","0.056640625","0.005859375","0.0078125","0.025390625","0.03125","0.5017462372779846","0.3106357753276825","0.000003815827767539304","3.260290100115526e-7","0.002597920363768935","8.810805320739746","5.035916805267334","8.050665855407715","0.02545478567481041","0.212824746966362","0.7662603855133057","30.102802276611328","0.6199330585521506","","","","","1.5773502588272097"
"loss_mse","finished","-","","","2026-06-15T01:25:25.000Z","714","","loss_mse","results/loss_mse","42","","100","500","true","0.5","0.5","mse","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.22514164447784424","10.162029266357422","","","","","","","","","","","0.000001265618948309566","0.0000016620410860923585","0.004126382526010275","14.281999588012695","0.0025693676206073614","NaN","0.023321660235524178","0.21254754066467285","0.7792423367500305","33.41281509399414","0.08661252915591738","","","","","0.94234299659729"
"loss_one_sided_v_l2","finished","-","","","2026-06-15T01:12:47.000Z","758","","loss_one_sided_v_l2","results/loss_one_sided_v_l2","42","","100","500","false","0","1","one_sided_v","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.2254963368177414","7.584449291229248","","","","","","","","","","","0.000004737246854347177","0.000006587800726265414","0.002703315345570445","6.782525062561035","3.950211524963379","0.0184711255133152","0.02568587101995945","0.2131647616624832","0.772316038608551","30.067737579345703","0.06413956863996009","","","","","23.53406143188477"
"loss_one_sided_v_dot","finished","-","","","2026-06-15T01:00:28.000Z","738","","loss_one_sided_v_dot","results/loss_one_sided_v_dot","42","","100","500","true","0","1","one_sided_v","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.22481179237365723","7.282812118530273","","","","","","","","","","","0.0000040028089642873965","7.435333486682794e-7","0.002597920363768935","8.581820487976074","5.031861782073975","8.050665855407715","0.025211216881871223","0.21303348243236545","0.7591537237167358","30.111743927001953","0.621990386889961","","","","","1.618048071861267"
"loss_joint_l2","finished","-","","","2026-06-15T00:47:02.000Z","806","","loss_joint_l2","results/loss_joint_l2","42","","100","500","false","0.5","0.5","joint","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.22488144040107727","7.584449291229248","","","","","","","","","","","0.000001147291186498478","0.0000014663449974250398","0.002703315345570445","6.218978404998779","4.058188438415527","0.007090764120221138","0.025683702901005745","0.2124531865119934","0.7725896835327148","30.080930709838867","NaN","","","","","25.356212615966797"
"loss_joint_dot","finished","-","","","2026-06-15T00:33:47.000Z","794","","loss_joint_dot","results/loss_joint_dot","42","","100","500","true","0.5","0.5","joint","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","1.4574503898620603","7.282812118530273","","","","","","","","","","","0.0003924627089872956","0.0005348981940187514","0.002597920363768935","8.809100151062012","5.167973518371582","8.050665855407715","0.02419181726872921","1.2605996131896973","0.720302939414978","29.7746524810791","0.6583676559512207","","","","","1.4867550134658811"
"loss_conditional_l2","finished","-","","","2026-06-15T00:21:03.000Z","764","","loss_conditional_l2","results/loss_conditional_l2","42","","100","500","false","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","0.224881649017334","7.584449291229248","","","","","","","","","","","8.921955441110185e-7","0.000001603824443918711","0.002703315345570445","6.612738609313965","3.958833932876587","0.010344945825636389","0.025697657838463783","0.21241281926631927","0.772432804107666","30.058490753173828","NaN","","","","","24.29933738708496"
"loss_conditional_l2","finished","-","","","2026-06-15T00:15:54.000Z","6","","loss_conditional_l2","results/loss_conditional_l2","42","","100","500","false","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"loss_conditional_l2","killed","-","","","2026-06-15T00:08:47.000Z","22","","loss_conditional_l2","results/loss_conditional_l2","42","","100","500","false","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","100","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","","7.5844502449035645","","","","","","","","","","","0.0000011706325722116162","","0.0027033158112317324","15.15847110748291","3.9160895347595215","0.02792917564511299","-0.01697758585214615","0.2186245620250702","0.7912124395370483","-46.60335540771485","NaN","","","","","10.882177352905272"
"loss_mse","crashed","-","","","2026-06-06T00:07:28.000Z","631","","loss_mse","results/loss_mse","42","","100","500","true","0.5","0.5","mse","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","","126.04429626464844","","","","","","","","","","","0.568434476852417","","0.06691234558820724","14.28199863433838","0.0025931084861666232","","0.03440967947244644","1533.6678466796875","0.8746882677078247","25.419832229614254","1.0357222070028351","","","","","0.9458088874816896"
"loss_one_sided_v_dot","finished","-","","","2026-06-05T23:40:23.000Z","763","","loss_one_sided_v_dot","results/loss_one_sided_v_dot","42","","100","500","true","0","1","one_sided_v","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","295.4593811035156","126.04429626464844","","","","","","","","","","","0.11522363126277924","0.11890110373497008","0.06691234558820724","11.069727897644045","5.04423713684082","","-0.057259999215602875","265.4456481933594","0.29107314348220825","-5.083359241485596","0.4495821514122172","","","","","1.2039809226989746"
"loss_joint_dot","finished","-","","","2026-06-05T23:09:02.000Z","924","","loss_joint_dot","results/loss_joint_dot","42","","100","500","true","0.5","0.5","joint","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.0005","50000","adam","83.00081634521484","126.04429626464844","","","","","","","","","","","0.04012880474328995","0.03669202700257301","0.06691234558820724","10.957335472106934","5.147315979003906","","-0.05918461829423904","86.18378448486328","0.3092217743396759","-5.224698066711426","0.3896310440499483","","","","","1.0590521097183228"
"dim_50x50","crashed","-","","","2026-06-05T22:16:40.000Z","691","","dim_50x50","results/dim_50x50","42","","100","500","true","0.5","0.5","conditional","50","50","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","","126.04429626464844","","","","","","","","","","","0.1030573472380638","","0.06691234558820724","0.5420973896980286","5.040279388427734","","-0.19143790006637573","277.5916442871094","0.14475154876708984","-0.7561279535293579","0.4231802895243522","0.028865706634414033","0.0936206504702568","0.6581524610519409","0.07341402886686099","23.78821182250977"
"dim_10x100","finished","-","","","2026-06-05T21:50:56.000Z","1544","","dim_10x100","results/dim_10x100","42","","100","500","true","0.5","0.5","conditional","100","10","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","55.06829833984375","87.5740737915039","","","","","","","","","","","0.02396005392074585","0.02040969766676426","0.04188057780265808","0.374834805727005","5.087635040283203","","-0.17771559953689575","58.85048294067383","0.7354644536972046","-4.138434886932373","0.35282501710274444","0.04204576320568186","0.16094021499156952","0.4746890962123871","0.07587760346429795","28.65497589111328"
"dim_10x50","finished","-","","","2026-06-05T21:26:41.000Z","1455","","dim_10x50","results/dim_10x50","42","","100","500","true","0.5","0.5","conditional","50","10","0.05","0.05","0","PastFuture","false","20","2.659","linear_clip","2","1000","3","gaussian_process_1d","true","256","0.005","100000","adam","189.69183349609375","134.19970703125","","","","","","","","","","","0.08940483629703522","0.08685378730297089","0.08621437847614288","0.6553438305854797","5.081382751464844","","0.056215811520814896","182.22361755371097","0.5584645867347717","9.934297561645508","0.2283048876975856","0.02167900804065599","0.03988910838961601","0.5691776275634766","0.08008097092725625","19.977359771728516"
